Reviewer,Rating,Review,Date
Amazon Customer,,"The Kingrose electric toothbrush is a game-changer for oral hygiene. Its powerful motor provides a deep clean, leaving teeth feeling smooth and fresh. With multiple cleaning modes, it caters to different needs, whether you’re looking for whitening, gum care, or sensitive cleaning. The built-in timer ensures you brush for the dentist-recommended two minutes, and the long battery life means fewer charges. Its sleek design and ergonomic grip add to the overall experience. While it’s pricier than manual options, the results and convenience make it well worth the investment. Highly recommended!","Reviewed in the United States on December 29, 2024"
Kirby,,"This toothbrush set is awesome! It comes with 8 brush heads, which means I won’t need to buy replacements for a long time - which i always used to put off anyways. Oh, and travel case is super handy for trips.

The four modes are really nice. I usually stick to the “clean” mode, but the “sensitive” mode is great for days when my gums feel a little tender. It’s easy to use, and I love that it has a timer to make sure I’m brushing for the right amount of time. I have been very impressed with the battery life too, the charge lasts.

My teeth feel so much cleaner than they did with a regular toothbrush, and it’s actually fun to use. The design is simple and lightweight, so it’s not bulky at all. Also, it's VERY powerful.. my dentist asked what i was doing differently because i didn't have any plaque or build up. My teeth cleaning went quick this time around.

If you’re thinking about getting an electric toothbrush, this is a great pick. Totally worth it for the quality and everything you get.","Reviewed in the United States on December 14, 2024"
M. Bittner,,This toothbrush is amazing! It was fully charged when I received it. It's not heavy. It does a great job with cleaning my teeth and mouth. It is easy to hold. It is easy to use. It comes in four different great colors. It includes four different replacement toothbrushes. It is well worth the price. I'm definitely buying more of these for my family.,"Reviewed in the United States on December 31, 2024"
Daria M Coakley-Graney,,"Dentist told me I needed an electric toothbrush to ensure I’m getting the gum lines at the back of my teeth. Have used for a month now. Works great and It feels nice, clean, and smooth when I do the tongue test! Love that you get extra toothbrushes for later. Quality product!","Reviewed in the United States on February 1, 2025"
SoBelle77,,Great deal! I refuse to pay $60 for an electric toothbrush. Comes with several heads and a travel case and works great!,"Reviewed in the United States on February 2, 2025"
Linds,,"For the price, this is fabulous! I only buy vibrating brushes bc I cannot stand the noise a toothbrush to teeth sound. I appreciate that it vibrates every 30 sec to change sections (if you are that type of brusher), comes with a 2 year supply of brush heads, AND auto shuts off at the 2 min mark. The color combo is soo cute. Cool feature saves your preferred setting. Isn't heavy nor annoyingly bulky. Way worth the value.","Reviewed in the United States on January 8, 2025"
SLD,,"The Sonicare I had been using for years finally gave up and I didn't want to spend an obscene amount of money to replace it. I was wary of the cleaning quality of this brush, but it seems to clean my teeth better than the Sonicare. I also like the that the charging cable can be connected to a USB block.
I was a bit perturbed when the brush shut off mid-cycle with no sort of warning of low battery. The fully charged battery lasted 24-days, which is not anywhere near the 60-days advertised. It also doesn't stand up on its end well, so it requires some manner of holder if you want it to stay upright with no chances of someone accidentally knocking it over and it falling to places around the bathroom you likely don't want your toothbrush.","Reviewed in the United States on December 10, 2024"
Alte Soldat,,"Firstly, it seems to do a better job than the Phillips Sonicare I have been using the past 6 years. It vibrates at a much higher rate and breaks plaque and food particles loose easily. The price is also nigh unbeatable.

Now the annoying part - It pauses/stops every 30 seconds for one second, then resumes operation on its own. A minor thing to be sure, but unnecessary and a bother.","Reviewed in the United States on November 30, 2024"
Sophia Alcala,,"I had very low expectations for this electric toothbrush. I've never had one and I needed to add something to get free same day shipping. I saw it was 8 dollars and I said why not. Just used it for the first time and wow, it left my teeth super clean and I love it so far. I didn't have to brush very hard to feel like it was cleaning well. I've always been very skeptical about electric toothbrushes but this just changed my mind.

It comes with plenty of extra brushes, and feels surprisingly quality for such a cheap product. Highly recommended. I used the setting that uses all three settings (once you get it, it will make sense), but I still gotta test out the other settings.

5/5 Product for a very cheap price.","Reviewed in the United States on January 15, 2025"
Robyn,,"Want to love it. It’s a good brusher. Comes with like 8 refill heads. But the charger is on the bottom of the brush. So if your charging it then you have to lie it down in its side. When you’re not charging it t then it is a balancing act to get it to stand up without falling over bc the bottom is not flat due to the charging port. It’s for my son and was a replacement for a Philips that stopped working in less than 6 months. So for the price, the replacement heads, and the power of different speeds I think it’s worth buying.","Reviewed in the United States on January 1, 2025"
